state,district,total_enrolment,population,adoption_gap_score,risk_flag
100000,100000,218,2.0,0.0,Low Risk
Andaman & Nicobar Islands,Andamans,75,750.0,0.9,High Risk
Andaman & Nicobar Islands,Nicobars,1,4.0,0.75,High Risk
Andaman & Nicobar Islands,South Andaman,38,305.0,0.8754098360655738,High Risk
Andaman And Nicobar Islands,Nicobar,75,787.0,0.9047013977128335,High Risk
Andaman And Nicobar Islands,North And Middle Andaman,132,2009.0,0.9342956694873071,High Risk
Andaman And Nicobar Islands,South Andaman,190,3391.0,0.9439693305809496,High Risk
Andhra Pradesh,Adilabad,1419,29291.0,0.9515550851797481,High Risk
Andhra Pradesh,Alluri Sitharama Raju,1255,12871.0,0.9024939787118328,High Risk
Andhra Pradesh,Anakapalli,543,13460.0,0.9596582466567608,High Risk
Andhra Pradesh,Anantapur,4415,68745.0,0.9357771474289039,High Risk
Andhra Pradesh,Ananthapur,1994,30026.0,0.9335908878971558,High Risk
Andhra Pradesh,Ananthapuramu,3187,55944.0,0.943032318032318,High Risk
Andhra Pradesh,Annamayya,1021,33634.0,0.9696438128084677,High Risk
Andhra Pradesh,Bapatla,492,13514.0,0.9635933106408169,High Risk
Andhra Pradesh,Chittoor,8199,169636.0,0.9516670989648424,High Risk
Andhra Pradesh,Cuddapah,5934,83667.0,0.929075979776973,High Risk
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,665,14156.0,0.9530234529528115,High Risk
Andhra Pradesh,East Godavari,7678,156025.0,0.9507899375100144,High Risk
Andhra Pradesh,Eluru,629,17584.0,0.9642288444040037,High Risk
Andhra Pradesh,Guntur,9729,177221.0,0.9451024427127711,High Risk
Andhra Pradesh,Hyderabad,4840,36206.0,0.8663204993647462,High Risk
Andhra Pradesh,K.V. Rangareddy,19,166.0,0.8855421686746988,High Risk
Andhra Pradesh,K.V.Rangareddy,69,518.0,0.8667953667953667,High Risk
Andhra Pradesh,Kakinada,969,28269.0,0.9657221691605645,High Risk
Andhra Pradesh,Karim Nagar,82,1151.0,0.9287576020851434,High Risk
Andhra Pradesh,Karimnagar,659,10331.0,0.936211402574775,High Risk
Andhra Pradesh,Khammam,1133,32368.0,0.9649962926347009,High Risk
Andhra Pradesh,Krishna,6737,111849.0,0.9397670073044909,High Risk
Andhra Pradesh,Kurnool,11770,177645.0,0.9337442652481072,High Risk
Andhra Pradesh,Mahabub Nagar,1511,12813.0,0.8820728947163038,High Risk
Andhra Pradesh,Mahabubnagar,7,81.0,0.9135802469135803,High Risk
Andhra Pradesh,Mahbubnagar,722,9897.0,0.9270486005860362,High Risk
Andhra Pradesh,Medak,1406,12963.0,0.891537452750135,High Risk
Andhra Pradesh,N. T. R,933,38070.0,0.9754925137903862,High Risk
