State,population,total_enrolment,Adoption_Gap_Score
100000,2.0,218,0.0
Andaman & Nicobar Islands,1059.0,114,0.8923512747875354
Andaman And Nicobar Islands,6187.0,397,0.9358331986423145
Andhra Pradesh,2295582.0,127686,0.9443775042668918
Arunachal Pradesh,36443.0,4344,0.8808001536646269
Assam,1012578.0,230197,0.7726624516827345
Bihar,4814350.0,609585,0.8733816610757423
Chandigarh,83356.0,2723,0.9673328854551562
Chhattisgarh,2005434.0,103219,0.9485303430579116
Dadra & Nagar Haveli,235.0,25,0.8936170212765957
Dadra And Nagar Haveli,6033.0,744,0.8766782695176529
Dadra And Nagar Haveli And Daman And Diu,3740.0,173,0.9537433155080214
Daman & Diu,644.0,21,0.967391304347826
Daman And Diu,1552.0,120,0.9226804123711341
Delhi,1438934.0,94529,0.9343062294726513
Goa,35112.0,2333,0.9335554796081111
Gujarat,1824327.0,280549,0.8462178107323961
Haryana,1166140.0,98252,0.915745965321488
Himachal Pradesh,149214.0,17486,0.8828126047153753
Jammu & Kashmir,426.0,155,0.636150234741784
Jammu And Kashmir,406772.0,48941,0.8796844423903317
Jharkhand,1401189.0,157539,0.8875676300627539
Karnataka,1695285.0,223235,0.8683200759754259
Kerala,744952.0,75002,0.899319687711423
Ladakh,5735.0,617,0.8924149956408021
Lakshadweep,1176.0,203,0.8273809523809523
Madhya Pradesh,2912938.0,493970,0.8304220687155031
Maharashtra,5054601.0,369139,0.9269697054228415
Manipur,301546.0,13456,0.955376625788437
Meghalaya,87378.0,109771,0.0
Mizoram,41906.0,5926,0.8585882689829618
Nagaland,36791.0,15587,0.5763366040607758
Odisha,1083305.0,118838,0.8903005155519452
Orissa,28752.0,4149,0.8556969949916527
Pondicherry,7459.0,1272,0.8294677570719936
Puducherry,25304.0,1745,0.9310385709769207
Punjab,881895.0,76746,0.9129760345619377
Rajasthan,2815825.0,348458,0.876250122077899
Sikkim,20340.0,2207,0.8914945919370698
Tamil Nadu,2212228.0,220789,0.9001960919037278
Telangana,1629907.0,131574,0.9192751488275098
The Dadra And Nagar Haveli And Daman And Diu,0.0,716,0.0
Tripura,138013.0,11285,0.9182323404316984
Uttar Pradesh,8542322.0,1018629,0.8807550218781264
Uttarakhand,463637.0,37698,0.9186906998362944
West  Bengal,107.0,15,0.8598130841121495
West Bangal,144.0,10,0.9305555555555556
West Bengal,3872300.0,375308,0.9030787903829766
Westbengal,144.0,7,0.9513888888888888
